EN,EM,Description,Composition strategy,Attribute
clear direction,➡️➡️,"[':right_arrow:', ':right_arrow:']",Reduplication,CLARITY
clear viewpoint,👀👀,"[':eyes:', ':eyes:']",Reduplication,CLARITY
clear solution,💡💡,"[':light_bulb:', ':light_bulb:']",Reduplication,CLARITY
clear perspective,🔍🔍,"[':magnifying_glass_tilted_left:', ':magnifying_glass_tilted_left:']",Reduplication,CLARITY
clear evidence,🔎🔎,"[':magnifying_glass_tilted_right:', ':magnifying_glass_tilted_right:']",Reduplication,CLARITY
clear horizon,🌅🌅,"[':sunrise:', ':sunrise:']",Reduplication,CLARITY
clear broadcast,📡📡,"[':satellite:', ':satellite:']",Reduplication,CLARITY
clear message,📢📢,"[':loudspeaker:', ':loudspeaker:']",Reduplication,CLARITY
clear forecast,🌤️🌤️,"[':sun_behind_small_cloud:', ':sun_behind_small_cloud:']",Reduplication,CLARITY
clear code,💻💻,"[':laptop:', ':laptop:']",Reduplication,CLARITY
clear plan,📝📝,"[':memo:', ':memo:']",Reduplication,CLARITY
clear distinction,❗❗,"[':red_exclamation_mark:', ':red_exclamation_mark:']",Reduplication,CLARITY
clear boundary,🚧🚧,"[':construction:', ':construction:']",Reduplication,CLARITY
clear vision,👁️👁️,"[':eye:', ':eye:']",Reduplication,CLARITY
clear signal,📶📶,"[':antenna_bars:', ':antenna_bars:']",Reduplication,CLARITY
clear path,🛣️🛣️,"[':motorway:', ':motorway:']",Reduplication,CLARITY
red alert,🟥🟥,"[':red_square:', ':red_square:']",Reduplication,COLOR
green signal,🟩🟩,"[':green_square:', ':green_square:']",Reduplication,COLOR
blue sky,🟦🟦,"[':blue_square:', ':blue_square:']",Reduplication,COLOR
yellow streak,🟨🟨,"[':yellow_square:', ':yellow_square:']",Reduplication,COLOR
purple haze,🟪🟪,"[':purple_square:', ':purple_square:']",Reduplication,COLOR
orange glow,🟧🟧,"[':orange_square:', ':orange_square:']",Reduplication,COLOR
brown earth,🟫🟫,"[':brown_square:', ':brown_square:']",Reduplication,COLOR
black night,⬛⬛,"[':black_large_square:', ':black_large_square:']",Reduplication,COLOR
white space,⬜⬜,"[':white_large_square:', ':white_large_square:']",Reduplication,COLOR
silver lining,☁️☁️,"[':cloud:', ':cloud:']",Reduplication,COLOR
golden star,⭐⭐,"[':star:', ':star:']",Reduplication,COLOR
pink blossom,🌸🌸,"[':cherry_blossom:', ':cherry_blossom:']",Reduplication,COLOR
gray area,⚪⚫,"[':white_circle:', ':black_circle:']",Reduplication,COLOR
multicolor art,🎨🎨,"[':artist_palette:', ':artist_palette:']",Reduplication,COLOR
rainbow vision,🌈🌈,"[':rainbow:', ':rainbow:']",Reduplication,COLOR
typical day,📅📅,"[':calendar:', ':calendar:']",Reduplication,COMMONNESS
everyday meal,🍽️🍽️,"[':fork_and_knife_with_plate:', ':fork_and_knife_with_plate:']",Reduplication,COMMONNESS
