EN,EM,Description,Composition strategy,Attribute
loud horn,📢,[':loudspeaker:'],Single,VOLUME
roaring crowd,🏟️,[':stadium:'],Single,VOLUME
booming subwoofer,🔊,[':speaker_high_volume:'],Single,VOLUME
ear-shattering blast,💥,[':collision:'],Single,VOLUME
high-decibel siren,🚨,[':police_car_light:'],Single,VOLUME
thunderous waterfall,🌊,[':water_wave:'],Single,VOLUME
powerful cheer,🙌,[':raising_hands:'],Single,VOLUME
echoing corridor,🏛️,[':classical_building:'],Single,VOLUME
amplified guitar,🎸,[':guitar:'],Single,VOLUME
shrill alarm,⏰,[':alarm_clock:'],Single,VOLUME
flashy entrance,💃,[':woman_dancing:'],Single,CONSPICUOUSNESS
showy car,🏎️,[':racing_car:'],Single,CONSPICUOUSNESS
grand display,🎆,[':fireworks:'],Single,CONSPICUOUSNESS
attention-grabbing sign,🚧,[':construction:'],Single,CONSPICUOUSNESS
outstanding outfit,👑,[':crown:'],Single,CONSPICUOUSNESS
bold statement,📣,[':megaphone:'],Single,CONSPICUOUSNESS
striking silhouette,🕴️,[':person_in_suit_levitating:'],Single,CONSPICUOUSNESS
prominent headline,📰,[':newspaper:'],Single,CONSPICUOUSNESS
unmissable banner,🔔,[':bell:'],Single,CONSPICUOUSNESS
dramatic reveal,🎭,[':performing_arts:'],Single,CONSPICUOUSNESS
massive skyscraper,🏙️,[':cityscape:'],Single,SIZE
giant pumpkin,🎃,[':jack_o_lantern:'],Single,SIZE
colossal whale,🐳,[':whale:'],Single,SIZE
enormous wave,🌊,[':water_wave:'],Single,SIZE
huge creature,🐘,[':elephant:'],Single,SIZE
towering mountain,⛰️,[':mountain:'],Single,SIZE
sprawling mansion,🏰,[':castle:'],Single,SIZE
vast desert,🏜️,[':desert:'],Single,SIZE
oversized package,📦,[':package:'],Single,SIZE
immense planet,🪐,[':ringed_planet:'],Single,SIZE
major event,🎉,[':party_popper:'],Single,IMPORTANCE
crucial meeting,👥,[':busts_in_silhouette:'],Single,IMPORTANCE
key date,📅,[':calendar:'],Single,IMPORTANCE
vital sign,❤️,[':red_heart:'],Single,IMPORTANCE
prime example,📝,[':memo:'],Single,IMPORTANCE
essential fact,💡,[':light_bulb:'],Single,IMPORTANCE
significant milestone,🏆,[':trophy:'],Single,IMPORTANCE
urgent task,⚠️,[':warning:'],Single,IMPORTANCE
prominent mission,🚀,[':rocket:'],Single,IMPORTANCE
pivotal role,🎯,[':direct_hit:'],Single,IMPORTANCE
bright morning,🌅,[':sunrise:'],Single,LIGHT
vivid color,🌈,[':rainbow:'],Single,LIGHT
radiant lamp,💡,[':light_bulb:'],Single,LIGHT
shiny mirror,🔍,[':magnifying_glass_tilted_left:'],Single,LIGHT
luminous aura,✨,[':sparkles:'],Single,LIGHT
glowing screen,📺,[':television:'],Single,LIGHT
brilliant reflection,💎,[':gem_stone:'],Single,LIGHT
blazing torch,🔥,[':fire:'],Single,LIGHT
sparkling water,💦,[':sweat_droplets:'],Single,LIGHT
illuminated stage,🎦,[':cinema:'],Single,LIGHT
red rose,🌹,[':rose:'],Single,COLOR
blue ocean,🌊,[':water_wave:'],Single,COLOR
golden sand,🏖️,[':beach_with_umbrella:'],Single,COLOR
silver lining,🌩,[':cloud_with_lightning:'],Single,COLOR
green leaf,🍃,[':leaf_fluttering_in_wind:'],Single,COLOR
purple orchid,💜,[':purple_heart:'],Single,COLOR
pink sunset,🌇,[':sunset:'],Single,COLOR
white dove,🕊️,[':dove:'],Single,COLOR
yellow ribbon,🎗️,[':reminder_ribbon:'],Single,COLOR
