EN,EM,Description,Composition strategy,Attribute
loud crowd,📣👥,"[':megaphone:', ':busts_in_silhouette:']",Semantic list,VOLUME
thunderous cheer,🔊👏,"[':loud_sound:', ':clapping_hands:']",Semantic list,VOLUME
blaring horns,📯📢,"[':postal_horn:', ':loudspeaker:']",Semantic list,VOLUME
amplified echo,🎤🔊,"[':microphone:', ':loud_sound:']",Semantic list,VOLUME
deafening roar,🦁🔈,"[':lion:', ':speaker_low_volume:']",Semantic list,VOLUME
ringing siren,🚨🔔,"[':police_car_light:', ':bell:']",Semantic list,VOLUME
noisy protest,📣✊,"[':megaphone:', ':raised_fist:']",Semantic list,VOLUME
ear-splitting blast,💥🔊,"[':collision:', ':loud_sound:']",Semantic list,VOLUME
shrill whistle,🔔👂,"[':bell:', ':ear:']",Semantic list,VOLUME
vocal burst,🗣️🔉,"[':speaking_head:', ':speaker_medium_volume:']",Semantic list,VOLUME
cannon boom,🎆🔊,"[':fireworks:', ':loud_sound:']",Semantic list,VOLUME
stadium chant,🏟️📣,"[':stadium:', ':megaphone:']",Semantic list,VOLUME
bellowing call,📣📞,"[':megaphone:', ':telephone_receiver:']",Semantic list,VOLUME
loudspeaker alert,🔈⚠️,"[':speaker_low_volume:', ':warning:']",Semantic list,VOLUME
clamorous laughter,🤣🔊,"[':rolling_on_the_floor_laughing:', ':loud_sound:']",Semantic list,VOLUME
raucous greeting,🙋‍♂️🔊,"[':man_raising_hand:', ':loud_sound:']",Semantic list,VOLUME
booming bass,🔊🎶,"[':loud_sound:', ':musical_notes:']",Semantic list,VOLUME
blasting stereo,💿🔊,"[':dvd:', ':loud_sound:']",Semantic list,VOLUME
acoustic feedback,🎧🔈,"[':headphone:', ':speaker_low_volume:']",Semantic list,VOLUME
resounding exclamation,‼️🔊,"[':double_exclamation_mark:', ':loud_sound:']",Semantic list,VOLUME
massive statue,🗽🗿,"[':Statue_of_Liberty:', ':moai:']",Semantic list,SIZE
enormous container,📦📦,"[':package:', ':package:']",Semantic list,SIZE
giant wave,🌊🌊,"[':water_wave:', ':water_wave:']",Semantic list,SIZE
colossal ship,🛳️🚢,"[':passenger_ship:', ':ship:']",Semantic list,SIZE
wide ocean,🌏🌊,"[':globe_showing_Asia-Australia:', ':water_wave:']",Semantic list,SIZE
vast desert,🏜️🌍,"[':desert:', ':globe_showing_Europe-Africa:']",Semantic list,SIZE
oversized shoes,👟👟,"[':running_shoe:', ':running_shoe:']",Semantic list,SIZE
extended field,🏞️🌐,"[':national_park:', ':globe_with_meridians:']",Semantic list,SIZE
lengthy bridge,🌉🛤️,"[':bridge_at_night:', ':railway_track:']",Semantic list,SIZE
grand avenue,🛣️🏙️,"[':motorway:', ':cityscape:']",Semantic list,SIZE
bulky luggage,🧳🧳,"[':luggage:', ':luggage:']",Semantic list,SIZE
gigantic screen,📺📽️,"[':television:', ':film_projector:']",Semantic list,SIZE
large frame,🖼️🚪,"[':framed_picture:', ':door:']",Semantic list,SIZE
mammoth structure,🏢🏭,"[':office_building:', ':factory:']",Semantic list,SIZE
expansive estate,🏰🌄,"[':castle:', ':sunrise_over_mountains:']",Semantic list,SIZE
substantial cargo,🚚📦,"[':delivery_truck:', ':package:']",Semantic list,SIZE
hefty load,🧱🚧,"[':brick:', ':construction:']",Semantic list,SIZE
roomy tent,⛺🏕️,"[':tent:', ':camping:']",Semantic list,SIZE
titanic iceberg,🧊🗻,"[':ice_cube:', ':mount_fuji:']",Semantic list,SIZE
unbounded plain,🌄🏞️,"[':sunrise_over_mountains:', ':national_park:']",Semantic list,SIZE
burning anger,😡🔥,"[':pouting_face:', ':fire:']",Semantic list,EMOTIONALITY
tearful relief,😢😌,"[':crying_face:', ':relieved_face:']",Semantic list,EMOTIONALITY
